bh-coords,bh-region,bh-system,ex-coords,ex-region,ex-system
08AB:007E:07F2:0079,Talipsi Void,Opollo,0778:007E:07B1:0070,Lieping Adjunct,Turpan-Aakiz XI
08AB:007F:073B:0079,Sea of Remyerdhar,Nazenta XII,073F:0080:0768:0067,The Arm of Oupenke,Wakikug-Mezhn
08AB:0082:06E6:0079,Ekchad Spur,Jainali-Alet,0938:0081:0803:006C,Nadgriguru Fringe,Sleyburn
08AB:0082:0914:0079,Oustibut,Woshawo-Les,0921:007C:086B:0071,Jerica Nebula,Udlertiag
08AC:006F:0A6B:0079,Caphare,Ciscen-Onuma,0646:0082:09BE:006B,The Arm of Toychoroeh,Seblanentt
08AC:007B:05AC:0079,Aughmer Void,Uveresve III,05BD:007C:08AE:004C,Derros,Gifura
08AC:007D:0000:0079,Kalisoch Anomaly,Tomita-Iebor,0E55:007C:0CD2:0049,Woerin,Voborg-Yab
08AC:007F:0525:0079,Oiwnist Band,Kuvailu XII,0867:0081:0AD6:005C,Lovanei Anomaly,Ufilma
08AC:0080:0528:0079,Ushube Spur,Isyfir,0ACD:0080:0891:003D,Coggie Adjunct,Oponer
08AD:007B:0CC5:0079,Doyeston Expanse,Nacepti VI,0C2D:007F:0A48:003A,Sturtermy Shallows,Yonque
08AD:007C:0909:0079,The Arm of Ruppid,Gaterfor,092C:0081:07EF:0073,Lovyevi Shallows,Segdan-Gujo
08AD:007D:0E7E:0079,Thudti Anomaly,Urprinu XV,0E76:007C:07EE:006D,Niyakot Instability,Nuyovshi
08AD:007E:093A:0079,Hiossb Fringe,Uolina,06F2:007C:0729:0060,Loqvisi Mass,Erbenta
08AE:007E:0293:0079,Giyanmi Instability,Teadleh-Musan I System,02A4:007C:074C:0066,Egbani Fringe,Lovida System
08AE:0081:0A90:0079,Tumuku Band,Iudach,05C0:0082:06B3:0056,Dedodeat Cluster,Totman-Chr
08AF:0080:050A:0079,Ranudhs Spur,Gestos,05E9:0082:05E0:004A,Slewel Conflux,Azaifugu
08AF:008D:08ED:0079,Pogungal Band,Alnarv-Gapo,0915:007C:081F:006C,Yonhila Terminus,Buderbi-Moyrd IX
08B0:0080:0294:0079,Ixeniab,[shb] Iobamey,034F:0080:0AAC:005B,Bokaukhoi Fringe,[shb] Zamashi
08B0:0081:08B2:0079,Qarava,Rogueliso,08EA:007D:07FE:0070,Pekeltib,Muudeilam
08B0:0082:06C4:0079,Adzlan Quadrant,Gagask IX,06C9:007C:0767:005F,Anotcha,Grusalc-Vijou
08B0:0082:0E14:0079,Uxiansid Arm,Ikemyndar,0D22:0080:04C3:0006,Camahene,Raregon-Tigra XVIII
08B1:007F:0C54:0079,Sidoraidar Boundary,Iksaing,0426:0080:09FC:0031,Jianci Fringe,Zamyann-Arban
08B2:007D:079C:0079,Ouhotter Spur,Zamatsuu Il,076E:0080:0788:006B,Limundt Adjunct,Reenien
08B2:0082:01DE:0079,Ukresi Cluster,Eatonha,04B7:0081:02DA:0078,Hirigh Boundary,Egrats-Kihun
08B3:007C:0B70:0079,Deiver,Elungb,04CA:0081:0947:0047,Kusaradj Cloud,Bushand
08B3:007E:0BBE:0079,Zisprini,Tazuphlu,0BAE:007C:0752:006D,Casleyzh Quadrant,Nagxian XII
08B3:0081:01C7:0079,Vuriedq Nebula,Gidets VIII,0DD8:0081:0A11:0023,Yutori Expanse,Zadogs-Anlu IX
08B4:007C:0ECB:0079,Ablista Sector,Brongq,0DB9:0082:0B9D:003E,Kominicj Sector,Aginnr-Hufi
08B4:007F:0A4E:0079,Trzeml! Boundary,Gostius-Qaway XIV,05BF:0082:08B0:005A,Objormore Band,Duforduen
08B4:0080:0676:0079,Soortre Quadrant,Oldaty,0662:007F:07C7:0058,Yountia Band,Kespervo
08B5:007D:0013:0079,Meptisulff,Higerfold,0F3F:0080:04E1:006A,Moannh Sector,Giningb
08B5:007D:0AF0:0079,Sea of Oojawsh,Uskive-Hin,08CF:007D:0526:0065,Acharga Cloud,Muelyn-Disa XV
08B5:007E:0000:0079,The Arm of Numashin,Runinsk-Mata,0D92:007D:024D:002F,Catavanen Mass,Udeang
08B6:007D:0365:0079,Vahnev Expanse,Rawukon-Runus,03EA:007D:05E0:0035,Rahahgwell,Jaretapi XV
08B6:007E:08F7:0079,Miyara,In39,06F1:007E:0792:0075,Juviit,O39
08B7:007B:031D:0079,Aflind Expanse,Taruto II,0694:007C:0CA9:0057,Ukminas Shallows,Onuchlos
08B7:007B:0433:0079,Racynen Instability,Nagyiru-Iaw Il,09E3:007E:04B1:0039,Adsene Conflux,Opinoso
08B8:007C:06F4:0079,Sempelh,Huolia,0715:0081:0737:006A,Naghuss Expanse,Emyazza
08B8:007D:0B00:0079,Cugnol,Gubartt,0848:0082:04FB:003E,Edisova Instability,Niqabnam
08B8:0081:0794:0079,Nutgenez Boundary,Siphael XIV,07BE:007F:0745:0070,Vahnel Nebula,Iuzhoum-Ula
08B8:0083:07A5:0079,Mashweik Mass,Arlias-Etsu,08A0:0083:079B:006C,Nagoetz Shallows,Naeyja-Meto XV
08B9:007B:0A0F:0079,Rylolapu Boundary,Izilyu-Kufs!,05FA:0081:0758:0057,Tegamad Band,Tikhaylo I
08BA:007B:074B:0079,Igyuptis Terminus,Uovutu-Gob,07D9:007D:070F:0068,Lozioj Band,Sakayamag
08BA:0081:0190:0079,Avyrie,Tokyars X,041C:007D:02E3:002C,Zucaidj,Avveikke
08BA:0082:05B7:0079,Loisht,Nogpusic,0778:007F:05BA:006C,Wembiate Shallows,Dionesv
08BB:007B:0116:0079,Tecahsf,Mugyamo,0DA7:007F:0BEE:0036,Urdean,Onetenshoc
08BB:007C:05DB:0079,The Arm of Uodinn,Modawag-Gafany III,091D:007F:061A:0057,Linissac Adjunct,Aglegorsk
08BB:007C:09EE:0079,Yempelso,Tedyekhadr,071D:007D:0632:0056,Ammera,Bielde-Geka XIII
08BB:007D:063D:0079,Aycusat,Awteng,07D1:0082:062A:006C,Avocop Conflux,AGT Cel-Obb Alpha
08BB:0082:0E2D:0079,Mosommon Boundary,Estvuiut,0709:0081:01E8:002F,Teynci Adjunct,Oomori-Bazar
08BC:007F:0E37:0079,Dimild Terminus,Thouns-Natsov,0D92:007C:0AB5:006E,Vettneyro Band,Elinjia
08BD:007C:05E1:0079,Afrecu Adjunct,Ungotosu,0A08:007C:0737:0050,Wotonito Nebula,Gionovoa
08BD:007C:0BAE:0079,Tivigitt Spur,Stanto,04DE:007E:0607:004A,Hammap Sector,Riinsky-Unjis
08BD:007F:0315:0079,Elzago Band,Bihnutlan,0B1E:0083:0BCA:002C,Ummertas Quadrant,Muheudu-Edar IX
08BD:0080:03E8:0079,Pafurby Quadrant,Okonak-Uweih,0BD2:007E:0976:0058,Lofandram Boundary,Loyudym-Lavsk
08BD:0080:0AE3:0079,Guquapeki,duchen-Emar VIII,07C5:0081:0AE9:005C,Iglior Adjunct,Huydrushde
08BD:0082:0212:0079,Zukowalli Cloud,Hoband-Ura,0262:0081:0625:005F,Tiqual,Oruzan-Aru XIX
08BD:0082:083F:0079,Nakklion Terminus,Ticsdalulst,074E:007F:0832:006C,Kudunya Mass,Tushki-Eyb
08BE:007B:093E:0079,Mozawa Boundary,Eslamp XIX,06E2:007D:08D3:0066,Caneld,Arshooe
08BE:007C:0EEA:0079,Sea of Tukurn,Aiminagin III,0D11:0083:0352:004B,Birhong Void,Tologonar
08BE:007D:071F:0079,Toysoorbi Boundary,Iskiyev IV,0712:007D:076D:0064,Hibetiu Band,Hudean X
08BE:0081:0995:0079,Kerecy Fringe,Hadlewo-Ayka,073B:0080:067E:0075,Idhmag Anomaly,Goboriya
08BE:0083:0498:0079,Kakurii Spur,Rimarq IX,0875:007D:0B63:0045,Nejeman,Xiexinn
08BF:007C:095E:0079,Luluwydam Adjunct,Furfilip,091C:0082:06FD:005A,Nunysana,Uoyant
08BF:007D:0675:0079,The Arm of Avropers,Obodny,0916:0080:06C3:006E,Sea of Kryamra,Makargop
08BF:007D:09DE:0079,Kuboati Terminus,Adiang V,066B:007B:06D9:005C,Adnoat Fringe,Dufestak
08BF:007F:08F7:0079,The Arm of Mejolle,Balukoun IV,0922:007C:083B:0063,Comonawy,Satogqe-Iikke
08BF:0081:0323:0079,Ompelt Spur,Uporio-Dezh,086D:007C:0CD4:006C,Ledingha Instability,Yugawakk
08C0:007C:0632:0079,Yiedal Cluster,Nebraz,09BD:007E:08B8:0073,Etsakplaa Mass,Maisay-Ouma
08C0:007F:018F:0079,Osnjay Spur,Ainash,0D7C:0083:04AB:005E,Sea of Gekunbu,Sablandl
08C0:007F:06A2:0079,Euvean Anomaly,Godenveyko,0972:0081:07A6:0070,Eltale Instability,Gachanxi
08C0:0081:022C:0079,Tucalog Nebula,Nabygen-Onc,0B1B:007F:0CEA:0018,Vaasey,Aoansu-Ilhei
08C1:007D:016F:0079,Etliq Quadrant,Kifiell-Nuglu,0B03:007F:0232:0077,Reeche,Ateyagawa
08C1:0080:0942:0079,Ebbela Nebula,Oiming-Yuhad,0922:007F:08D3:005E,Yirrhuh Terminus,Nuurag-Lug
08C1:0083:0217:0079,The Arm of Sacallen,Uvstovie,0D7D:007C:05D8:0024,Rusonni Quadrant,Tallompen
08C2:0080:02CF:0079,Ihlauf,Shuron,0C77:007D:055E:003E,Gudiince Void,Fuzhijin
08C2:0081:082A:0079,Segoudu Terminus,Amling,0783:007C:0886:006B,Wirdiil Expanse,Omuliar-Luzan XV
08C2:0083:035B:0079,Dawngutona Terminus,Litnina,0366:007F:08A9:0032,Neszonapis Conflux,Demitroy
08C3:007E:06AE:0079,Lokaabezo Quadrant,Quog,07F4:007E:068A:0066,Fleiont Cloud,Mansky-Ust XIV
08C3:007E:096E:0079,Eelato Sector,Kikuch-Neett,0673:0080:082E:0076,Ahrenia Cluster,Guyunc
08C3:0080:08D2:0079,Urmand,Oadtow,07E4:007E:090D:0077,Iaeinen Fringe,Solvis XVIII
08C3:0082:0797:0079,Hesburr Expanse,Whavan-Imps VII,08B3:007D:079C:006E,Rudikir Shallows,Jonumin
08C3:0082:0B2A:0079,Hektra Shallows,Mabskapap,06BC:0080:050E:0037,Ajhwalo Cloud,Azakun XI
08C4:007D:0903:0079,Ezelda Void,Zapugan-Echi XIII,08DE:007C:0727:0060,Sea of Likupoo,Niroup
08C4:007D:0E7D:0079,Lekhofsk,Geyodat,09D1:0081:0E36:0050,Aeceaume Terminus,Ibugourdo
08C4:0082:0BAC:0079,Amrieme Anomaly,Loskyivi,08CA:0080:0B9B:0046,Doywalu Instability,Kiyosh-Ney
08C5:0077:014A:0079,Gocutul,Zagani,0BB3:007B:0D90:0076,The Arm of Tissand,Cawaxu XII
08C5:007C:0CB8:0079,Paweter Sector,Redobrats,0366:007E:06E4:002B,Eigohtl Boundary,Rusisso-Vit
08C6:007D:0191:0079,Tutatarsu Fringe,Ibxi,0B31:0080:0D90:0036,Henumiaert,Amwonj
08C6:007D:06AA:0079,The Arm of Itsucht,Tosetse-Tutfl,071D:007C:092F:0062,Beogra Sector,Mitumino
08C6:007E:0428:0079,Lefvenn Expanse,Erongbaj,0683:0081:046F:0039,Dascout Expanse,Yookamoga
08C6:0081:0EC8:0079,Xiocatle Adjunct,Emmanc,0DD5:0081:0B6C:006B,Deense,Somfattu VI
08C7:0081:0884:0079,The Arm of Kiwrigh,Jaoalka-Now III,072D:007B:07B2:006D,Objoser Adjunct,Nahamac
08C8:0082:07B0:0079,Pahthos Band,Sesbesk,08C2:0081:082A:006D,Segoudu Terminus,Dingwos XVIII
08C9:007C:0971:0079,Liklharj Nebula,Miurano-Vibes XII,0823:0081:066B:005E,Uzcodibor Nebula,Ilovsk XVI
08C9:007E:02B4:0079,Ahlavore Adjunct,Fujiokay,0464:0081:0420:0055,Zugenk Quadrant,Lishiy-Chuor
08C9:0080:03A5:0079,Bianjan,Tumxuk-Heod XVI,05CE:007C:0BC5:0048,Yatsohif Instability,Roworth-Kitor II
08CA:007D:07EA:0079,Bobert Boundary,Yonkit-Tuki,07C1:0082:074E:006B,Anquik Nebula,Yawani-Have
08CA:007F:04B9:0079,Gonoluka Cluster,Kofortle,06EE:007F:0B20:0066,Eighto Cluster,Tethrei-Twi XVII
08CA:0080:0B9B:0079,Doywalu Instability,Sugama,0891:007D:0B96:0051,Cienii Cluster,Kovrop
08CB:007E:0B60:0079,Sea of Tawilo,Ayboroko,0B63:007B:0861:004F,Ouchar Shallows,Ugby-Maa
08CB:0083:0814:0079,Ulkuq,Anjuanet,0899:0083:0792:0074,Festint,Fatsustrv VII
08CC:007F:071A:0079,Ebthel,Rutishared,0845:007D:06E5:0073,Filiudatu Void,Firmur-Tava
08CC:0081:0758:0079,Sivanc Band,Tibunar,0747:007F:0759:0069,The Arm of Emhetae,Oditsk
08CD:0082:0137:0079,Ushamp Nebula,Puteshm,0A08:007E:0189:0029,Duhnayo Void,z Puteshm
08CE:007E:0317:0079,Upuyani,Dawukon,0AA9:0082:03DE:0033,Zeyerr Quadrant,Demouti
08CE:007E:0E88:0079,The Arm of Kazani,Chleyto-Elz,05D4:0082:0E25:006D,Tunapa Mass,Shovist V
08CF:007C:08C1:0079,Luguyni Boundary,Keskjalavo VI,0764:0082:08DA:0069,Sea of Warigoscheu,Embokuc
08CF:007D:0526:0079,Acharga Cloud,Aimorle XVII,080A:0083:0519:0065,The Arm of Tishokwa,Tishieme
08CF:0080:0979:0079,The Arm of Zenmand,Onubil,07E9:007E:099E:005E,Aycurinab Expanse,Cleatorpe
08CF:0082:0B1E:0079,Armuto,Silnos,04D5:007E:0803:0057,Ohkwib Terminus,Enospro I
08D0:007B:01B4:0079,Todorsile Spur,Kenhami XII,07DA:007F:01B7:0065,Onponr Cluster,Nonartu
08D0:007F:06F6:0079,Edkube Shallows,Ishuannin,0760:0080:0916:005F,Nijamem Mass,Arnesv
08D0:007F:0BC0:0079,Jaitvaa,Zuwanoed,0B6E:007B:066A:004B,Recourn Instability,Ookayameg
08D0:0081:0E0E:0079,Gudaina Boundary,Jimari-Olda,0DF9:0080:08EE:005C,Ospelhe Expanse,Esyego-Zern
08D1:007C:0789:0079,Tuvala Terminus,Ewesti-Udet,0731:0081:0856:0074,Posugri,Egkoup-Seiyo
08D1:007E:025F:0079,Smoonadiy Conflux,Yenonymp 79,0281:007B:06CC:0062,Ogeeshk,Senter-Zam
08D1:007F:0B47:0079,Radzhaong Boundary,Hitosukei,0B31:0081:0716:0054,Dazhko Boundary,Igusuki
08D1:0081:079E:0079,Rippon Sector,Imasahay VIII,0852:007D:08C5:0068,Riverlewe Boundary,Dictio-Uhbey
08D1:0081:09F6:0079,Romoduw Anomaly,Yisasting,05F0:007C:07D2:0056,Buddio Sector,Aainalm XV
08D2:0082:0989:0079,Liuonj Shallows,Uhashi,0908:007E:0953:0057,Baasga Terminus,Pisaba
08D3:007C:0610:0079,Olzuno Void,Natsville XV,0603:007E:0787:0076,Usgrayna,Smhover
08D3:007C:0CD2:0079,Dwrigo Void,Mupactice ,0C24:007F:0A7E:002C,Howeira,Zovanivan V
08D3:007E:0163:0079,The Arm of Swickr,Magakha VXII,053F:007F:01FE:0039,Tanavensc Adjunct,Ikyenth-Eyi XIX
08D3:0082:0A10:0079,Teinep Anomaly,Vonyevsk,088B:007D:05E8:0076,Qomand Cloud,Sergiye-Noh
08D4:007D:013B:0079,Adguas Terminus,Yaginic,0CAB:007C:0CE2:0024,Woyannc Shallows,Ikuzen
08D4:007D:0E7D:0079,Fadiete Nebula,Yazovsky VI,01D1:007C:0602:0026,Difukur,Itunnale XIX
08D4:007F:09A2:0079,Fossik Cloud,Esning XI,065D:0082:074D:0057,Olzunu Expanse,Rexunduh
08D6:007B:0E17:0079,Wainme Boundary,Midori,028E:007F:0ABB:005B,The Arm of Outmar,Witonsi
08D6:007C:0BDF:0079,Yemonyik Anomaly,Meshek-Guge XV,0645:007F:0B80:002E,Nekwechk Terminus,Utosam-Inion
08D6:0081:0411:0079,Rodnirr Void,Nuuraga-Mar I,040E:007E:0858:0048,Hahneron Band,Ganganagch XVI
08D7:007C:02DD:0079,Laturrati Instability,Kudama,0CF3:007F:095D:005A,Inklio Cluster,Bajamad IX
08D7:007E:07B8:0079,Rimila,Ursleyto II,07AE:007D:073C:006B,Xescho Shallows,Akorsak VII
08D7:007F:0255:0079,Zumeyri Mass,Damnya-Bajav,0D6C:0082:09A3:0042,Sea of Olichsfe,Nabydo-Yehtei
08D7:0080:0493:0079,Sea of Tajilessa,Fasfello IV,071F:0082:04A4:0038,Faschod Fringe,Ainashin
08D7:0081:0BF9:0079,Urdiuhe Terminus,Gakiku-Yokoh,0BA4:0081:09A7:0054,Oppeswoi Boundary,Aalilu Il
08D8:007C:07F9:0079,Smatos Expanse,Slavate-Kuhas,07A2:007E:08B0:0072,Eotian,Ecitya-Beami
08D8:007E:046B:0079,The Arm of Serkto,Edlans,058D:0081:0AA8:0065,Radbhata Cloud,Iogatah-Pizho
08D8:007F:08C4:0079,Anuitt Terminus,Nutoinet,07C9:007E:090E:0064,Izdikga Shallows,Onkerkinn XI
08D8:0082:0D9E:0079,Gihnardt Instability,Uguryin,06CA:007C:0280:002F,Suchneit Mass,Adenha
08D8:0083:0695:0079,Tratyr Adjunct,Popavna-Nef,0951:0080:071E:005B,Egovaka Shallows,Luchali-Debe
08D9:007D:0850:0079,Gweikl Instability,Tingsat,0782:0081:074F:006C,Unbursa Adjunct,Vigwentia
08DA:0082:0837:0079,Agdani Fringe,Nimuodo XIV,072E:007C:07F8:006F,Syonyu Adjunct,Shunam-Munat
08DA:0082:0E72:0079,Dodurru Sector,Gerogenu,0326:0081:03C0:0056,Kujuno Terminus,Ioudadur
08DB:007C:0A2E:0079,Duiwei,Henqunt,0A45:0081:0832:006E,Ushji,Yegodayb
08DB:007D:0178:0079,Jorapodi,Eyiiji IV,0658:0081:0E4F:0041,Srivazon Mass,Opking-Mit
08DB:007D:08DF:0079,Likadiromi Instability,Ioudag-Hac,0726:0081:08CA:0066,Riusin,Kruotoi-Hay
08DB:0080:0297:0079,Ziosses,Punzemma,0A3D:007D:0311:0036,Oztocz,Yokhany I
08DB:0080:0E75:0079,Ikkipiku Expanse,Pukhti,07BE:007E:0E74:002C,Rucisco Void,Usashi-Rud XIII
08DC:007E:098A:0079,Ugeidowty Quadrant,Kesgro-Fahant XV,0671:007F:074D:006E,Wethkeng,Poroza
08DC:007F:0870:0079,Luballed Terminus,Savetsk-Sung,0858:0082:0729:0069,Duzhaol Adjunct,Lexeye
08DC:0080:04C2:0079,Joiens,Iaetski,090B:0081:04E0:004E,Orlani Void,Aasuan-Lugin XII
08DC:0083:066F:0079,Jihlad Band,Hyitrinch VI,0785:0080:0658:0063,Rufjongan Instability,Aftesbo-Liyoki
08DD:007B:0159:0079,Quveleme Conflux,Kuayin-Ief,07A9:007F:0EA2:0039,Radelho Instability,Omonaf II
08DD:007C:0806:0079,Zovicat Quadrant,Pogoroz X,0765:007F:0777:0075,Pavocov Expanse,Yukjavis
08DE:007C:0727:0079,Sea of Likupoo,Dreyete-Alh,0746:0082:08E3:0077,Xenongx,Tauenj-Etn
08DF:007B:0A6E:0079,Nazylusrusz Instability,In_16,083A:007F:0A83:0049,The Arm of Helutas,Out_16
08DF:007D:093B:0079,Rawinin,Ikongr-Eziu,0861:0080:0965:006B,Iclerbi Cluster,Maxoisa-Aize
08DF:007F:083E:0079,Aachuuah Terminus,Hudealho XVIII,0873:0081:08B5:006C,Igorynova Cluster,Hughburi
08DF:0080:0AB2:0079,Sarryikush Conflux,Fotokun-Xiga,0AC0:0082:0858:0057,Sea of Zotzebir,Yunoyen XIV
08E1:0082:088E:0079,Kudule Mass,Volumb,08F9:007C:0811:006E,Sea of Lamikia,Fokinoo
08E2:007C:0186:0079,Rumijao Expanse,Neyamam,0730:007E:0193:004C,Azunoni Spur,Gajordb-Tal
08E2:007D:0A7A:0079,Nosdool Band,Ripusca-Sunat,0851:007D:0573:0078,Eskheiss Band,Ekvigal-Gasbur
08E2:007F:04E1:0079,Glookua,Alonykha,05FF:007B:0A78:004A,Yoneittr Shallows,Tarabu-Yibl XVII
08E2:0083:0BEE:0079,Obashc Quadrant,Ibiryush,0A1D:0081:04A1:0025,Evejica Conflux,Jacque-Aya XVII
08E2:0083:0CA3:0079,Yayp Cluster,Romenzho,0A87:007D:0414:003A,Eepomo.,Jekotku-Wat II
08E3:007E:0C4E:0079,Ugeick Fringe,Zawate,0B83:007B:0A8A:0049,Fithran Void,Boinsogd
08E3:007F:07C9:0079,Patorus,Emkhov,0726:0083:07FF:0075,Rerhanse Adjunct,Riftess
08E3:0081:06AF:0079,Pegarbu Nebula,Thuriatus III,087A:007C:068E:0076,Ajsind Mass,Ogyaig-Sag XVI
08E3:0081:0834:0079,Gerlmun Mass,Toaine,0755:007D:0887:006B,Fefmeit Mass,Daeanr
08E3:0081:0E32:0079,Nobolt,Owagogat,0DBA:007D:059D:0031,Deynen,Ketorin-Rari Il
08E4:007D:08AF:0079,Odhansa Nebula,Dolmud-Esye,06EF:007B:07F8:0063,Afarkh,Yicityan
08E5:007C:0160:0079,Iukiss Conflux,Yihweyf-Dor IV,0356:007B:034B:003E,Sesyevik Anomaly,Sadomana
08E5:007E:0816:0079,Ravaizma Spur,Lonoichit,08B9:0081:0794:0075,Broura Spur,Vashik-Gehan
08E5:0081:0878:0079,Sea of Aethlo,Nushimabar,074F:0082:08A7:006B,The Arm of Itfors,Irishi
08E6:0071:0E7D:0079,Jakuru Instability,Anweih I,0816:0082:0E7E:0037,Tethle,Tequica XVI
08E6:007B:08CE:0079,Runkopa Fringe,Rancang-Fufis,08BE:007D:071F:0064,Toysoorbi Boundary,Agestup-Cli
08E6:007E:0A03:0079,Ozhdes Cluster,Yilanz-Eqing,06FF:007C:09E4:0073,Zubrigamu Shallows,Sopine-Elka
08E6:007F:0CEA:0079,Barine Void,Rydomin-Nizai VI,07D2:007D:0310:0067,Zoavinga Band,Zangkan
08E6:0080:0580:0079,Giyptisi Shallows,Neuijuh,08F4:007E:0A67:0065,Ewfelio,Saurigh
08E6:0080:0691:0079,Yutenro Expanse,Aletaia-Osr XI,0927:0082:06DB:0066,Nistial Adjunct,Dobang
08E6:0083:012C:0079,Sutamb Mass,Tulansiy,0980:007C:0156:0024,Pusaramor Band,Gibiaws-Afir
08E6:0083:0BA2:0079,Owrank Void,Irenei V,05A5:0080:0AD5:0067,Vinicolo Fringe,Olosol
08E7:007C:0370:0079,Jehwazn,Yusvadby,0764:007B:0371:0020,Lalfuru Expanse,Daiseh
08E7:007E:0CEB:0079,Iyungk Cloud,Angots,0795:0082:0CEC:0049,Sea of Econcoann,Godsarn-Atns
08E8:007B:0D14:0079,Uzandj Quadrant,Hiehara XIX,04BF:0080:0BEF:0037,Nussanebor Fringe,Miashov-Zak
08E8:007E:0E9A:0079,Dufanth Instability,Lifremogad,0DAD:007F:04A1:0061,Lonjunogste,Dodockere
08E9:007E:04FD:0079,Twicki Shallows,Gruppus,0B00:0082:08B1:0052,Yilorya Sector,Mitsevo
08E9:007F:0503:0079,Idenni,Wachin XV,0964:007C:0AB8:0051,Kaqchic Nebula,Aiseharao
08E9:007F:068D:0079,Golame Mass,Seonati-Gopus,075C:007D:0983:0073,Nokope,Kiyevk
08EA:007C:086F:0079,Cashong Cluster,Ohistr III,07B7:007B:0716:0069,Baybolo Cluster,Levent-Fuc
08EA:007D:07FE:0079,Pekeltib,Inveni XVI,0739:007C:07A3:006C,Eevezda Mass,Lagona
08EC:007D:0DE8:0079,Gavistia Conflux,Vufreka-Nuko,02F2:007B:04E4:0017,Kubruwu Shallows,Yustoni
08EC:007E:0739:0079,Cutriansk Band,Exhampt,0711:0081:08A9:0067,Jakist Band,Kurikh-Lemati
08EC:007E:0957:0079,Nohard,Ramadon,0986:007E:0859:006B,Axonoldh Band,Kataik-Inta XV
08ED:007F:0E76:0079,Kilikar Boundary,Yodawas,021D:007B:0AB2:004A,Lekeriu Nebula,Uttsuy
08ED:0081:0818:0079,Hojiniba Terminus,Irashi-Joets,0735:007C:085C:006B,Ivakino,Romekio-Omovi
08EE:007B:08CB:0079,Jorodu Cloud,Josrit,07D8:0083:06D8:006C,Wiburgera Sector,Kadach XV
08EE:007C:06B5:0079,Isnicash Spur,Oaeydis-Aoe,0880:0081:068E:0061,Hulerni Terminus,Giningy-Wakin
08EE:007D:0235:0079,Aavidew Terminus,Unnany,0B60:007C:0348:005E,Zocoynsbar Sector,Enhedskari
08EE:007D:0EAB:0079,Jajanai Nebula,Asamac,0D19:0082:0C4D:0051,Tiyahu,Umikhodi XVI
08EE:007E:07F2:0079,Ilhewsk,Fussaet V,08C4:0082:0798:0073,Xioneit Cluster,Deratus-Hopp XVIII
08EE:007F:0AA4:0079,Tumblod Adjunct,Takaoka,07B4:007C:0AB9:0059,Minuak Band,Hainka XVI
08EF:0080:0194:0079,Behren,Eiyeosunc,0D36:0081:043D:003A,Nevillo Boundary,Nidaykhany
08EF:0080:06B8:0079,Fayeun Fringe,Sottug-Nag,08A4:007E:0960:0061,Anweldmar Shallows,Gezayugk
08EF:0082:0108:0079,Nogrli Quadrant,Owbrient XI,0111:007E:0752:0071,Exvesur Terminus,Nisbora-Nolf XVII
08EF:0082:0BC0:0079,Elbifer Void,Oslans-Eyant XVII,04A8:007E:09D6:002E,Aygest Spur,Yeduhsh-Naila
08F0:007F:0D49:0079,Sea of Rastinod,Satorib-Dekon,084C:007D:02B2:0057,Legret Instability,Nunitra-Xin
08F0:0082:0782:0079,Gudebal Cloud,Omeyshe-Aylsih XVIII,0899:0080:08C9:0078,Freasid Spur,Ukihar-Mon
08F1:007C:0E64:0079,Mayarr Mass,Madano-Desh,094C:007F:0E44:004C,Zecatse Fringe,Rekesspo VI
08F1:007E:0BA1:0079,Onharwit Band,Odbrid-Nihuij,0539:007E:0591:0077,Sea of Mopasond,Omichu
08F2:007D:0546:0079,Yomradams,Vuodoss,08FE:007C:0AA2:0067,Buzhurex,Liudac
08F2:007D:087A:0079,Kaerdu,Nogyima-Wacho II,0711:007F:085D:0070,Giguang Cloud,Vedinoka VIII
08F2:007E:0B51:0079,Ceverd,Isanggan,06BB:007F:04D9:003B,Olkoveno Fringe,Tamate
08F2:0081:0128:0079,Myerik Cluster,Riglas-Ether V,0E71:007E:05AC:0029,Otrinera Sector,Eucifer-Nane
08F2:0081:0129:0079,Onbuluan Sector,Azofil,0345:007F:0CF0:0065,Iugoster Shallows,Urechor
08F2:0081:012A:0079,Tinggu Mass,Kaross,0A07:0080:0176:0029,Kulovic Expanse,Amsanm-Rab
08F2:0082:0128:0079,Elftan Cloud,Fritehra VII,0137:0081:071C:0071,Shonta,Katano-Nat Ill
08F2:0082:0129:0079,Amheth,Botour-Mupu III,0E77:0082:05C4:0035,Karkist Void,Hojalasof
08F2:0082:012A:0079,Iswift Shallows,Yilasven,0335:007B:0CDE:0071,Sorast Fringe,Adlagil XI
08F2:0083:0128:0079,Sea of Soessapp,Qaidekou,0E93:007D:0619:0041,The Arm of Geqvishte,Metangey
08F2:0083:0129:0079,Sisyenk Nebula,Neislu,02F4:007F:0CA1:0005,Bubilj Band,Eborgaml
08F2:0083:012A:0079,Cavese Expanse,Iguahtar,0A72:0080:019C:0041,Karoan Boundary,Savyuc I
08F3:007C:0129:0079,Sea of Luzhen,Yaksha-Ouyua VIII,0172:007B:0609:0070,Jagata Terminus,Amuro-Nic
08F3:007C:0906:0079,Bezhaorn Band,Redoingne,06E0:007E:0745:0070,Iaural Terminus,Anbeij-Itche
08F3:007F:0B8E:0079,Mugarat Conflux,Nedkla,04F9:007F:0A00:0035,Debehen,Noxoisansh
08F3:0080:06CE:0079,Lomisi,Agdoijin,06F6:007C:06F6:0064,Ditian Shallows,Obarak-Aoyua III
